"paper_id","accesses"
"https://openalex.org/W4416104347",259
"https://openalex.org/W4416111506",596
"https://openalex.org/W4416200448",1049
"https://openalex.org/W4416308039",331
"https://openalex.org/W4416386567",2030
"https://openalex.org/W4416782193",5879
"https://openalex.org/W4416947161",417
"https://openalex.org/W4417031672",3272
"https://openalex.org/W4417031756",1074
"https://openalex.org/W4417150657",515
"https://openalex.org/W4417152369",387
"https://openalex.org/W4417269600",2648
"https://openalex.org/W4417454583",1647
"https://openalex.org/W7116695010",2437
"https://openalex.org/W7116800715",754
